tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
3,501451,5/19/2015,24,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,Damage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,766 MANIDA STREET,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81646683,-73.88917503,1014925.946,236757.4196,17,93,2006497,2027630075
4,501451,5/19/2015,20,0,OnCurb,Alive,Good,Quercus palustris,pin oak,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1241 LAFAYETTE AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81643379,-73.88959548,1014809.582,236745.2369,17,93,2006002,2027400100
7,501911,5/19/2015,3,0,OnCurb,Alive,Poor,Betula pendula,silver birch,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1242 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81409208,-73.88912278,1014941.504,235892.233,17,93,2006623,2027650198
8,501911,5/19/2015,3,0,OnCurb,Alive,Poor,Betula pendula,silver birch,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1242 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81410005,-73.88906962,1014956.216,235895.1546,17,93,2006623,2027650198
9,501911,5/19/2015,4,0,OnCurb,Alive,Poor,Betula pendula,silver birch,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1242 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81410738,-73.88902071,1014969.752,235897.8422,17,93,2006623,2027650198
10,501911,5/19/2015,4,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1242 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81411567,-73.88896542,1014985.053,235900.8809,17,93,2006623,2027650198
11,501911,5/19/2015,4,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1246 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81412376,-73.88892221,1014997.01,235903.8452,17,93,2006624,2027650201
12,501911,5/19/2015,4,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1246 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,34,BX27,Hunts Point,2009300,New York,40.81414163,-73.88884704,1015017.807,235910.3816,17,93,2006624,2027650201
13,501911,5/19/2015,4,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1246 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81416277,-73.88875809,1015042.42,235918.1168,17,93,2006624,2027650201
14,501911,5/19/2015,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1246 SPOFFORD AVENUE,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81419255,-73.88863006,1015077.847,235929.0085,17,93,2006624,2027650201
