mmsi;imo_nr;length;date_time_utc;lon;lat;sog;cog;true_heading;nav_status;message_nr
212710000;9195834;95;2018-01-01 11:27:50;9.7713;59.0097;10.9;311.4;311;0;1
212710000;9195834;95;2018-01-01 11:28:00;9.77055;59.0101;11.0;310.8;311;0;1
212710000;9195834;95;2018-01-01 11:28:20;9.7692;59.0107;11.0;310.8;311;0;1
212710000;9195834;95;2018-01-01 11:28:31;9.76829;59.0111;11.0;310.0;311;0;1
212710000;9195834;95;2018-01-01 11:28:40;9.76754;59.0114;11.0;310.5;311;0;1
212710000;9195834;95;2018-01-01 11:28:51;9.76678;59.0117;11.0;310.6;311;0;1
212710000;9195834;95;2018-01-01 11:29:01;9.76603;59.0121;11.0;310.3;311;0;1
212710000;9195834;95;2018-01-01 11:29:10;9.76535;59.0124;11.0;310.9;311;0;1
212710000;9195834;95;2018-01-01 11:29:30;9.76378;59.0131;11.0;311.3;312;0;1
212710000;9195834;95;2018-01-01 11:29:41;9.76303;59.0134;11.0;310.8;312;0;1
212710000;9195834;95;2018-01-01 11:29:51;9.76227;59.0137;11.0;310.4;313;0;1
212710000;9195834;95;2018-01-01 11:30:00;9.76154;59.0141;11.0;311.7;314;0;1
212710000;9195834;95;2018-01-01 11:30:19;9.76023;59.0147;11.0;312.4;314;0;1
212710000;9195834;95;2018-01-01 11:30:31;9.75936;59.0151;11.0;313.0;316;0;1
212710000;9195834;95;2018-01-01 11:30:40;9.75865;59.0155;11.0;314.6;316;0;1
212710000;9195834;95;2018-01-01 11:30:50;9.75803;59.0158;11.0;315.3;317;0;1
212710000;9195834;95;2018-01-01 11:31:01;9.75727;59.0162;11.0;315.6;317;0;1
212710000;9195834;95;2018-01-01 11:31:10;9.75665;59.0165;11.0;316.1;317;0;1
212710000;9195834;95;2018-01-01 11:31:20;9.75603;59.0169;11.0;315.3;319;0;1
212710000;9195834;95;2018-01-01 11:31:30;9.75523;59.0173;11.0;317.4;321;0;1
212710000;9195834;95;2018-01-01 11:31:41;9.75459;59.0177;11.0;319.2;321;0;1
225424000;9443762;133;2018-01-01 22:45:50;9.75196;59.0181;10.1;144.1;141;0;1
225424000;9443762;133;2018-01-01 22:46:10;9.75308;59.0173;10.1;142.0;138;0;1
225424000;9443762;133;2018-01-01 22:46:20;9.7536;59.017;10.1;140.3;137;0;1
225424000;9443762;133;2018-01-01 22:46:41;9.75486;59.0163;10.1;139.4;133;0;1
225424000;9443762;133;2018-01-01 22:47:00;9.75606;59.0156;10.0;133.4;130;0;1
225424000;9443762;133;2018-01-01 22:47:10;9.75678;59.0153;9.9;131.6;129;0;1
225424000;9443762;133;2018-01-01 22:47:28;9.75806;59.0147;10.0;129.8;126;0;1
225424000;9443762;133;2018-01-01 22:47:41;9.75886;59.0144;10.0;127.5;126;0;1
225424000;9443762;133;2018-01-01 22:47:50;9.75958;59.0142;10.0;127.0;126;0;1
225424000;9443762;133;2018-01-01 22:48:09;9.76103;59.0136;10.1;126.6;126;0;1
225424000;9443762;133;2018-01-01 22:48:20;9.7617;59.0133;10.2;126.3;126;0;1
225424000;9443762;133;2018-01-01 22:48:31;9.76251;59.013;10.2;126.4;126;0;1
225424000;9443762;133;2018-01-01 22:48:40;9.76324;59.0127;10.2;126.5;126;0;1
225424000;9443762;133;2018-01-01 22:48:59;9.76467;59.0122;10.3;126.5;126;0;1
225424000;9443762;133;2018-01-01 22:49:10;9.7655;59.0119;10.3;126.5;126;0;1
225424000;9443762;133;2018-01-01 22:49:30;9.76701;59.0113;10.4;126.6;126;0;1
225424000;9443762;133;2018-01-01 22:49:41;9.76776;59.011;10.4;126.0;127;0;1
225424000;9443762;133;2018-01-01 22:49:50;9.76844;59.0108;10.4;126.1;129;0;1
225424000;9443762;133;2018-01-01 22:50:00;9.76917;59.0105;10.4;127.9;129;0;1
225424000;9443762;133;2018-01-01 22:50:20;9.77071;59.0099;10.4;128.7;130;0;1
225424000;9443762;133;2018-01-01 22:50:31;9.77142;59.0096;10.4;129.3;129;0;1
236002000;8214358;92;2018-01-01 15:58:24;9.77138;59.0096;9.5;310.8;309;0;1
236002000;8214358;92;2018-01-01 15:58:32;9.77071;59.0099;9.6;309.6;310;0;1
236002000;8214358;92;2018-01-01 15:58:43;9.77005;59.0101;9.6;309.1;310;0;1
236002000;8214358;92;2018-01-01 15:58:54;9.76939;59.0104;9.6;308.9;310;0;1
236002000;8214358;92;2018-01-01 15:59:03;9.76873;59.0107;9.6;308.6;309;0;1
236002000;8214358;92;2018-01-01 15:59:14;9.76805;59.011;9.6;308.4;309;0;1
236002000;8214358;92;2018-01-01 15:59:22;9.76744;59.0112;9.7;308.0;309;0;1
236002000;8214358;92;2018-01-01 15:59:33;9.7667;59.0115;9.6;307.8;310;0;1
236002000;8214358;92;2018-01-01 15:59:42;9.76602;59.0118;9.6;308.0;310;0;1
236002000;8214358;92;2018-01-01 15:59:53;9.76534;59.012;9.6;308.0;310;0;1
236002000;8214358;92;2018-01-01 16:00:04;9.76466;59.0123;9.6;307.8;310;0;1
236002000;8214358;92;2018-01-01 16:00:13;9.76398;59.0126;9.6;308.0;310;0;1
236002000;8214358;92;2018-01-01 16:00:23;9.76337;59.0128;9.6;308.0;310;0;1
236002000;8214358;92;2018-01-01 16:00:32;9.76262;59.0131;9.5;307.7;312;0;1
236002000;8214358;92;2018-01-01 16:00:42;9.76196;59.0134;9.5;308.3;313;0;1
236002000;8214358;92;2018-01-01 16:00:54;9.76131;59.0137;9.4;309.4;314;0;1
236002000;8214358;92;2018-01-01 16:01:03;9.76068;59.014;9.4;310.6;315;0;1
236002000;8214358;92;2018-01-01 16:01:13;9.76;59.0143;9.4;312.1;315;0;1
236002000;8214358;92;2018-01-01 16:01:22;9.75951;59.0146;9.4;312.9;315;0;1
236002000;8214358;92;2018-01-01 16:01:33;9.75885;59.0149;9.4;313.3;315;0;1
236002000;8214358;92;2018-01-01 16:01:43;9.75823;59.0152;9.3;313.1;315;0;1
236002000;8214358;92;2018-01-01 16:01:53;9.75762;59.0155;9.3;313.0;315;0;1
236002000;8214358;92;2018-01-01 16:02:04;9.75701;59.0158;9.3;312.9;315;0;1
236002000;8214358;92;2018-01-01 16:02:14;9.75633;59.0161;9.3;313.2;315;0;1
236002000;8214358;92;2018-01-01 16:02:23;9.75585;59.0163;9.3;313.3;315;0;1
236002000;8214358;92;2018-01-01 16:02:34;9.75518;59.0167;9.3;313.4;315;0;1
236002000;8214358;92;2018-01-01 16:02:42;9.75457;59.017;9.3;313.3;316;0;1
236002000;8214358;92;2018-01-01 16:02:54;9.75395;59.0172;9.3;312.7;318;0;3
236002000;8214358;92;2018-01-01 16:03:01;9.75354;59.0175;9.3;313.3;320;0;3
